"country code",Country,World region,Survey,Year,MPI (National),Headcount ratio: Population in multidimensional poverty (H),Intensity of deprivation among the poor (A),Vulnerable to poverty (who experience 20-33.32% intensity of deprivations) ,In severe poverty (severity 50% or higher) ,"Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)","Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)",Proportion of MPI poor who are destitute,"Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)",Indicator (s) missing,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking 
fuel",Sanitation,Drinking water,Electricity,Housing,Assets
NER,Niger,Sub-Saharan Africa,DHS,2012,0.6012798122,90.9711576249,66.0956536026,4.8551351601,76.2706914079,0.0263316799,69.8065655246,76.7348327637,10,,21.4408144355,36.7258727551,41.8333113194,16.1887205974,5.2520945218,20.6638028555,16.062069713,8.3485837032,7.830041274,5.5550897868,7.6274619439,8.2142010313,4.2579345731
NGA,Nigeria,Sub-Saharan Africa,DHS,2018,0.2543896424,46.4168601133,54.8054396164,19.2261375608,26.8477339164,0.0294923224,28.992024314,62.4601135254,10,,30.8936178684,28.2233446836,40.8830374479,22.146111587,8.7475060603,12.7506546096,15.4726918121,9.9362000663,7.8728245499,5.5205430983,6.996325575,7.1668169865,3.390325655
MKD,North Macedonia,Europe and Central Asia,MICS,2019,0.0014220629,0.3718566272,38.2422366062,2.1820304203,0.0523396571,...*,0.0641346235,17.2471370697,10,,29.6392560005,52.6085317135,17.7522093058,5.7495338869,23.8897239598,37.8322964289,14.77623591,7.3316861184,3.7095681531,0.1637761138,3.1169594717,0,3.4302199573
PAK,Pakistan,South Asia,DHS,2018,0.1982473949,38.3321306051,51.7183343937,12.9195809149,21.467651174,0.0226816945,16.723492646,43.627872467,10,,27.6186794043,41.3144618273,31.0668587685,22.6828745907,4.9358053364,20.865978854,20.448482086,8.7549065116,6.0774291599,2.2259032964,2.0014873374,8.5873977654,3.4197350622
PSE,"Palestine, State of",Arab States,MICS,2020,0.0019800923,0.5661842002,34.9725808168,1.2517573406,0.0064706551,...*,0.0285637052,5.0449490547,10,,62.9064619541,31.0038030148,6.0897339135,41.7611232388,21.1453385607,3.6549732554,27.3488310965,0.9413158362,2.6642116528,0.6836866223,0,1.4587014069,0.3418183305
PNG,Papua New Guinea,East Asia and the Pacific,DHS,2018,0.2632908997,56.6286273032,46.494310776,25.2574880703,25.7871121323,0.016011402,24.3168952891,42.9409942627,9,Nutrition,4.6054154634,30.0580769777,65.3365015984,,4.6054155787,12.3397189763,17.7183595571,11.871633822,10.7189254226,9.4796595459,11.6604930845,11.1189651635,10.4868288494
PRY,Paraguay,Latin America and the Caribbean,MICS,2016,0.0188485814,4.5007454053,41.8787993031,7.1814592409,0.9738953228,0.0128756007,0.536288832,11.915555954,10,,14.2711013556,38.9454245567,46.7834770679,11.544793317,2.7263073669,25.6292483337,13.3161746783,12.4567348672,11.1115202831,5.4722603768,3.1227607992,10.7802623911,3.8399375868
PER,Peru,Latin America and the Caribbean,ENDES,2019,0.0292211368,7.3677756639,39.6607309622,10.3185083205,1.1993219437,0.0070819403,1.7405810885,23.6242408752,10,,15.7150194049,32.6815634966,51.6034185886,13.418367973,2.2966517407,16.7726200663,15.9089423237,11.0340624329,11.6022995209,5.9423776672,4.0508934361,13.1641980362,5.809586803
PHL,Philippines,East Asia and the Pacific,DHS,2017,0.0242493424,5.7959818836,41.8381956733,7.2595949173,1.274723838,0.0096778786,1.9070280928,32.9025878906,9,Nutrition,20.3070983291,31.0211211443,48.6717820168,,20.3070976262,20.2491129967,10.7720067307,11.9150641276,8.2964960687,4.5431829295,5.8059992423,10.1578902298,7.9531500485
RWA,Rwanda,Sub-Saharan Africa,DHS,2020,0.2310019619,48.8224018738,47.3147475457,22.6947188252,19.7011772235,0.0142079247,11.5931001198,23.7454528809,10,,18.977753818,26.5952795744,54.4269680977,16.6293944663,2.3483597919,20.8593845124,5.7358936002,11.7187624775,5.9875142145,8.3714330168,8.7880195536,10.6869402922,8.8742980746
LCA,Saint Lucia,Latin America and the Caribbean,MICS,2012,0.0072018621,1.9211311778,37.487612199,1.6434137393,0,...*,0.1412354826,7.3516836166,9,Child mortality,69.4753110409,7.5260967016,22.9985952377,69.4753086751,,7.5260968763,0,2.510363122,5.4723241787,1.1746656434,2.3701790644,8.5122879052,2.958774535
WSM,Samoa,East Asia and the Pacific,MICS,2020,0.0246004898,6.2884986864,39.1198137942,12.8549244697,0.4860105298,0.0027567346,0.6335717367,10.0750875473,10,,36.8950247765,31.1771541834,31.9278240204,29.3163187591,7.5787059957,0.2517761503,30.9253766962,10.5907591391,3.3751977322,0.7741350504,0.806541589,11.7608119735,4.6203769146
STP,Sao Tome and Principe,Sub-Saharan Africa,MICS,2019,0.0479233751,11.7122637278,40.9172609319,16.9678890136,2.0830375168,0.0069592241,2.1292926045,18.1800270081,10,,18.736705184,36.6158723831,44.6474224329,15.9744340704,2.7622709335,24.6563934548,11.9594792978,10.7828158821,12.6972905859,3.8854389279,8.1474777776,0.5272559847,8.6071430852
SEN,Senegal,Sub-Saharan Africa,DHS,2019,0.262861973,50.8323781086,51.711523788,18.1833356901,27.7062713097,0.0189656112,22.6067311107,44.4730949402,10,,20.6977024674,48.4465062618,30.8557897806,17.0020036662,3.6956980857,20.625765437,27.8207402894,9.932092833,6.0995682981,3.3237804844,5.4553672805,4.7608903498,1.2840932759
SRB,Serbia,Europe and Central Asia,MICS,2019,0.0004331141,0.1136736732,38.1015353225,2.0989988797,0.0077245515,...*,0,0,,,30.9375584126,40.0883406401,28.9741009474,8.8578611155,22.0796985458,20.9811269111,19.107213659,12.8643948056,3.9127546896,3.1826457794,0.9571989618,6.0140945884,2.0430109438
SYC,Seychelles,Sub-Saharan Africa,QLFS,2019,0.0029634609,0.8657575786,34.2296846776,0.4052803586,0.0277425314,...*,0.7385388294,85.3054962158,8,School attendance & Cooking fuel,66.8331205845,32.1084946394,1.0583822615,32.6364336087,34.1966887951,32.108495326,,,0.4504937208,0,0,0,0.6078885495
SLE,Sierra Leone,Sub-Saharan Africa,DHS,2019,0.2928993067,59.221962863,49.4578856483,21.2605486216,28.0277252028,0.0187180173,25.3610871756,42.8237876892,10,,22.969840467,24.0525633097,52.9775977135,17.4841882525,5.4856523488,15.2985216982,8.7540413697,11.2080538894,10.2642795897,6.7780876962,10.4315325436,7.6172576902,6.6783849215
ZAF,South Africa,Sub-Saharan Africa,DHS,2016,0.0248906429,6.2568817041,39.7812265757,12.1688128597,0.9449943248,0.0045333849,1.65392198,26.4336471558,10,,39.4648730755,13.1058067083,47.4293172359,31.1305401774,8.3343335135,10.471886858,2.6339201439,9.8945555491,4.5923631837,8.4898786911,7.9334878646,9.2767311553,7.2423028634
SSD,South Sudan,Sub-Saharan Africa,MICS,2010,0.5801574344,91.8628885202,63.1547128326,6.3365348981,74.3431773742,0.0231421012,75.2486977297,81.9141464233,10,,13.9876306057,39.5622193813,46.450150013,10.3675909551,3.6200393269,19.1919872438,20.3702314774,8.754908656,8.2762132359,5.6213069939,8.5775405747,8.6914219061,6.5287596303
LKA,Sri Lanka,South Asia,SLDHS,2016,0.0111846991,2.9207179237,38.2943486871,14.3252319137,0.2612648444,0.0037730583,0.4723503623,16.1724052429,10,,32.5200796127,24.4423493743,43.0375725031,30.2688719994,2.251207164,14.4884047766,9.9539450813,13.3180459718,6.9198515849,6.2048725626,3.6787780005,7.2633189999,5.652703859
SDN,Sudan,Arab States,MICS,2014,0.2794395886,52.3280416509,53.4014994284,17.6605286277,30.8782779178,0.0234798379,28.8907801978,55.2108955383,10,,21.0607558489,29.1510999203,49.7881412506,17.7442688338,3.31648667,16.1072767258,13.0438241012,8.7126276504,9.1579875157,7.11931419,8.4707825576,10.3101818996,6.0172498559
SUR,Suriname,Latin America and the Caribbean,MICS,2018,0.0112324685,2.853739736,39.3605216535,4.0232773219,0.3972591718,0.0066548572,0.5487901188,19.2305603027,10,,20.3675031662,43.8199967146,35.8125030994,14.9695762669,5.3979265004,27.9847607304,15.8352335651,5.6159411569,9.0278554877,2.274794916,4.6417206335,6.1511744659,8.1010162772
TJK,Tajikistan,Europe and Central Asia,DHS,2017,0.0290059231,7.4446062878,38.9623331943,20.086508182,0.7316225807,0.0041658487,1.7124110472,23.0020370483,10,,47.758474946,26.4651328325,25.7763922215,35.7455249784,12.0129500784,0.7079818004,25.7571509605,6.6303436733,0.6090592851,6.8729318772,0.1912152236,10.8762712994,0.5965708237
TZA,Tanzania,Sub-Saharan Africa,DHS,2016,0.2841793107,57.0677271122,49.7968510487,23.410095564,27.5274025236,0.0160341989,21.2112415822,37.1685409546,10,,22.5120589137,22.2620427608,55.2258968353,19.0681891866,3.4438692616,7.1980724829,15.0639710565,11.1195345321,10.4794692022,8.472944077,10.7797571817,9.2615562464,5.112636773
THA,Thailand,East Asia and the Pacific,MICS,2019,0.0021206823,0.5777914876,36.7032463886,6.1477366329,0.030000735,0.0027837583,0.0953100416,16.4955768585,10,,38.2638007402,45.0701385736,16.6660621762,26.5449461462,11.7188541535,31.6842850767,13.3858524057,7.3829496944,2.0799226428,0.8838605105,0.7543516746,2.6941569492,2.8708207464
TLS,Timor-Leste,East Asia and the Pacific,DHS,2016,0.2215142401,48.2536995598,45.9061672145,26.8277949858,17.3838759486,0.0142790228,19.2096255129,39.8096427917,10,,29.2922586203,23.1495380402,47.5582033396,26.6157848268,2.676473929,11.9417294489,11.207808526,11.7792544377,8.1473233459,4.7810495557,4.9035323949,10.498583883,7.4484596521
TGO,Togo,Sub-Saharan Africa,MICS,2017,0.1796162567,37.6122953513,47.7546650728,23.7618974845,15.2255532158,0.0162961539,13.9573609781,37.108505249,10,,20.9485024214,28.1238585711,50.9276390076,16.3809060907,4.5675965048,17.6890763678,10.4347825794,11.5736636672,11.1197736063,6.9618998577,9.1846797231,7.6711362977,4.4164853054
TON,Tonga,East Asia and the Pacific,MICS,2019,0.0033361548,0.8746081143,38.1445669035,6.4023991735,0.0245573181,...*,0.1139936497,13.0336828232,10,,38.2117122412,40.7032489777,21.0850387812,15.1944402567,23.0172723486,6.720726319,33.9825219651,4.2716350328,2.1301216403,0.8885401633,0.9542276953,11.7396959112,1.1008186677
TTO,Trinidad and Tobago,Latin America and the Caribbean,MICS,2011,0.0024179247,0.6365606726,37.9841986172,3.6814435972,0.099323396,...*,0.1347823847,21.173532486,10,,45.4906433821,34.0257555246,20.4835996032,17.7867211489,27.7039239873,22.4242984075,11.6014572487,0.2407503077,1.8811546826,1.8238542656,5.3896967919,7.2633778713,3.8847652886
TUN,Tunisia,Arab States,MICS,2018,0.002887731,0.7914336113,36.4873439148,2.3878540047,0.0588877637,...*,0.0538064572,6.7986063957,10,,24.4148775935,61.5682184696,14.0169024467,21.0736954059,3.3411816388,39.7905320883,21.7776886389,0.4017113125,4.525200167,4.0733449718,0.7391158227,1.4353551041,2.8421748501
TKM,Turkmenistan,Europe and Central Asia,MICS,2019,0.0008491774,0.2494071572,34.0478355019,0.3410832479,0,...*,0.1032930952,41.4154510498,9,Cooking fuel,82.40442276,15.4970496893,2.0985245705,47.2648202049,35.1396053005,0,15.497049998,,0,0,0,2.0985244966,0
TUV,Tuvalu,East Asia and the Pacific,MICS,2020,0.0080846085,2.1144359041,38.2352968979,12.1944640252,0,0.001851749,0.7716371688,36.4937591553,10,,36.4544898272,43.5897409916,19.9557691813,28.6509593128,7.80353092,1.7838125468,41.8059278733,3.2703230025,4.4964932561,0,0.5946041823,10.4051405416,1.1892083646
UGA,Uganda,Sub-Saharan Africa,DHS,2016,0.2810284784,57.1684854553,49.157936613,23.6102821118,25.6800236096,0.0168152247,18.2588056124,31.9385852814,10,,23.9713668823,21.5768918395,54.4517397881,20.7988154102,3.1725511961,13.3835158647,8.193377352,11.2368903672,9.9579989881,8.2884633808,9.9294276447,9.8252893,5.2136704962
UKR,Ukraine,Europe and Central Asia,MICS,2012,0.0008404318,0.2442373366,34.4104538022,0.4186271452,0,...*,0.1524835358,62.4325256348,9,Nutrition,60.4832351208,28.3592164516,11.1575447023,,60.4832374256,18.1932748299,10.1659430395,4.3969459082,1.9482337616,1.529732584,0.2878595632,0.9669231564,2.0278497315
VNM,Viet Nam,East Asia and the Pacific,MICS,2021,0.0077293949,1.9191205226,40.2757136029,3.4725311253,0.3501318685,0.0098339198,0.7524395083,39.2075157166,9,Nutrition,22.8579208255,40.7405793667,36.4014983177,,22.8579204694,27.8619947308,12.8785851321,10.4955361951,9.3917350596,3.2901053859,0.7098473777,8.4567255955,4.057550054
YEM,Yemen,Arab States,DHS,2013,0.2451664615,48.4664287834,50.5848001622,22.2856964647,24.349763803,0.0211783834,20.1547055711,41.5848770142,10,,28.953191638,30.4148525,40.631955862,25.7336851862,3.2195049623,11.6726885604,18.742164438,6.6887905096,8.4210551482,6.7656252413,4.4941740473,10.3780421075,3.8842697994
ZMB,Zambia,Sub-Saharan Africa,DHS,2018,0.2316850734,47.9061305449,48.3623015942,23.8721779029,21.0287542641,0.0152626922,17.8189965022,37.1956481934,10,,21.4951545,25.0322580338,53.4725904465,18.4892501844,3.0059038845,8.63550971,16.3967484368,11.4204301961,9.0446491033,6.8585409461,10.6660008912,9.6480954169,5.8348712306
ZWE,Zimbabwe,Sub-Saharan Africa,MICS,2019,0.1099417855,25.8000383489,42.6130318024,26.3303329508,6.770157921,0.00948276,6.5948853747,25.5615329742,10,,23.560115695,17.2718480229,59.1680347919,18.6960065098,4.8641090315,5.3685290625,11.903319816,12.7204887149,10.8126243783,10.0120995174,9.7783477571,8.2626182402,7.5818569722
